ROI_ID,Longitude,Latitude,Dicot_Count,Monocot_Count,Chenopodium_Count,log1p_Dicot_Count,log1p_Monocot_Count,log1p_Chenopodium_Count,logeps_Dicot_Count,logeps_Monocot_Count,logeps_Chenopodium_Count,x_25832,y_25832,fold
104,11.3881375,55.32277639,26,4,0,3.295836866,1.609437912,0,3.258100384,1.386319361,-9.210340372,651521.3983,6133308.091,3
105,11.38815639,55.32305444,11,0,1,2.48490665,0,0.693147181,2.397904364,-9.210340372,1.00E-04,651521.5356,6133339.066,1
106,11.38816167,55.32310389,4,0,0,1.609437912,0,0,1.386319361,-9.210340372,-9.210340372,651521.6817,6133344.578,9
107,11.38815583,55.32294278,24,2,5,3.218875825,1.098612289,1.791759469,3.178057997,0.693197179,1.609457912,651521.9264,6133326.642,10
108,11.38815417,55.32285861,9,1,1,2.302585093,0.693147181,0.693147181,2.197235688,1.00E-04,1.00E-04,651522.1418,6133317.275,4
109,11.38816167,55.3229625,19,0,3,2.995732274,0,1.386294361,2.944444242,-9.210340372,1.098645621,651522.2212,6133328.849,3
110,11.38816389,55.32292028,47,0,4,3.871201011,0,1.609437912,3.850149729,-9.210340372,1.386319361,651522.5233,6133324.156,7
111,11.38817111,55.32298611,14,1,2,2.708050201,0.693147181,1.098612289,2.639064472,1.00E-04,0.693197179,651522.7302,6133331.496,5
112,11.38816194,55.3227925,34,1,3,3.555348061,0.693147181,1.386294361,3.526363466,1.00E-04,1.098645621,651522.8875,6133309.937,2
113,11.38816528,55.32283361,18,0,3,2.944438979,0,1.386294361,2.890377313,-9.210340372,1.098645621,651522.9421,6133314.518,4
114,11.38817278,55.32290139,28,1,7,3.36729583,0.693147181,2.079441542,3.332208082,1.00E-04,1.945924435,651523.1592,6133322.074,2
115,11.38817222,55.3228775,14,1,0,2.708050201,0.693147181,0,2.639064472,1.00E-04,-9.210340372,651523.2151,6133319.415,2
116,11.38817083,55.32281333,46,8,8,3.850147602,2.197224577,2.197224577,3.82864357,2.079454042,2.079454042,651523.3718,6133312.274,8
117,11.38818944,55.32308583,31,0,2,3.465735903,0,1.098612289,3.43399043,-9.210340372,0.693197179,651523.5127,6133342.63,5
118,11.38818889,55.32305472,22,0,0,3.135494216,0,0,3.091046999,-9.210340372,-9.210340372,651523.5961,6133339.168,10
119,11.38817222,55.32277639,25,7,1,3.258096538,2.079441542,0.693147181,3.218879825,1.945924435,1.00E-04,651523.6009,6133308.167,5
120,11.38819111,55.32294278,58,3,5,4.077537444,1.386294361,1.791759469,4.060444735,1.098645621,1.609457912,651524.1642,6133326.719,10
121,11.38818861,55.32285861,14,2,2,2.708050201,1.098612289,1.098612289,2.639064472,0.693197179,0.693197179,651524.3268,6133317.35,1
122,11.38824083,55.32298611,19,0,0,2.995732274,0,0,2.944444242,-9.210340372,-9.210340372,651527.153,6133331.648,7
